Id : 362  Quarterly Census of Employment and Wages
ENU0100120510                 Number of Private Establishments for All Industries in Autauga County, AL                                                NSA  06-Dec-2022  Quarterly      
ENU0100320510                 Number of Private Establishments for All Industries in Baldwin County, AL                                                NSA  06-Dec-2022  Quarterly      
ENU0100520510                 Number of Private Establishments for All Industries in Barbour County, AL                                                NSA  06-Dec-2022  Quarterly      
ENU0100720510                 Number of Private Establishments for All Industries in Bibb County, AL                                                   NSA  06-Dec-2022  Quarterly      
ENU0100920510                 Number of Private Establishments for All Industries in Blount County, AL                                                 NSA  06-Dec-2022  Quarterly      
ENU0101120510                 Number of Private Establishments for All Industries in Bullock County, AL                                                NSA  06-Dec-2022  Quarterly      
ENU0101320510                 Number of Private Establishments for All Industries in Butler County, AL                                                 NSA  06-Dec-2022  Quarterly      
ENU0101520510                 Number of Private Establishments for All Industries in Calhoun County, AL                                                NSA  06-Dec-2022  Quarterly      
ENU0101720510                 Number of Private Establishments for All Industries in Chambers County, AL                                               NSA  06-Dec-2022  Quarterly      
ENU0101920510                 Number of Private Establishments for All Industries in Cherokee County, AL                                               NSA  06-Dec-2022  Quarterly      
ENU0102120510                 Number of Private Establishments for All Industries in Chilton County, AL                                                NSA  06-Dec-2022  Quarterly      
ENU0102320510                 Number of Private Establishments for All Industries in Choctaw County, AL                                                NSA  06-Dec-2022  Quarterly      
ENU0102520510                 Number of Private Establishments for All Industries in Clarke County, AL                                                 NSA  06-Dec-2022  Quarterly      
ENU0102720510                 Number of Private Establishments for All Industries in Clay County, AL                                                   NSA  06-Dec-2022  Quarterly      
ENU0102920510                 Number of Private Establishments for All Industries in Cleburne County, AL                                               NSA  06-Dec-2022  Quarterly      
ENU0103120510                 Number of Private Establishments for All Industries in Coffee County, AL                                                 NSA  06-Dec-2022  Quarterly      
ENU0103320510                 Number of Private Establishments for All Industries in Colbert County, AL                                                NSA  06-Dec-2022  Quarterly      
ENU0103520510                 Number of Private Establishments for All Industries in Conecuh County, AL                                                NSA  06-Dec-2022  Quarterly      
ENU0103720510                 Number of Private Establishments for All Industries in Coosa County, AL                                                  NSA  06-Dec-2022  Quarterly      
ENU0103920510                 Number of Private Establishments for All Industries in Covington County, AL                                              NSA  06-Dec-2022  Quarterly      
ENU0104120510                 Number of Private Establishments for All Industries in Crenshaw County, AL                                               NSA  06-Dec-2022  Quarterly      
ENU0104320510                 Number of Private Establishments for All Industries in Cullman County, AL                                                NSA  06-Dec-2022  Quarterly      
ENU0104520510                 Number of Private Establishments for All Industries in Dale County, AL                                                   NSA  06-Dec-2022  Quarterly      
ENU0104720510                 Number of Private Establishments for All Industries in Dallas County, AL                                                 NSA  06-Dec-2022  Quarterly      
ENU0104920510                 Number of Private Establishments for All Industries in DeKalb County, AL                                                 NSA  06-Dec-2022  Quarterly      
ENU0105120510                 Number of Private Establishments for All Industries in Elmore County, AL                                                 NSA  06-Dec-2022  Quarterly      
ENU0105320510                 Number of Private Establishments for All Industries in Escambia County, AL                                               NSA  06-Dec-2022  Quarterly      
ENU0105520510                 Number of Private Establishments for All Industries in Etowah County, AL                                                 NSA  06-Dec-2022  Quarterly      
ENU0105720510                 Number of Private Establishments for All Industries in Fayette County, AL                                                NSA  06-Dec-2022  Quarterly      
ENU0105920510                 Number of Private Establishments for All Industries in Franklin County, AL                                               NSA  06-Dec-2022  Quarterly      
ENU0106120510                 Number of Private Establishments for All Industries in Geneva County, AL                                                 NSA  06-Dec-2022  Quarterly      
ENU0106320510                 Number of Private Establishments for All Industries in Greene County, AL                                                 NSA  06-Dec-2022  Quarterly      
ENU0106520510                 Number of Private Establishments for All Industries in Hale County, AL                                                   NSA  06-Dec-2022  Quarterly      
ENU0106720510                 Number of Private Establishments for All Industries in Henry County, AL                                                  NSA  06-Dec-2022  Quarterly      
ENU0106920510                 Number of Private Establishments for All Industries in Houston County, AL                                                NSA  06-Dec-2022  Quarterly      
