Id : 389  A Millennium of Macroeconomic Data for the UK
ABBSCUKA                                Aggregate Bank and Building Society Credit in the United Kingdom                                                                        NSA  Annual, End of Year 09-Jun-2017  
AURUKM                                  Unemployment Rate in the United Kingdom                                                                                                 SA   Monthly    23-Aug-2017  
AWEPPUKA                                Average Weekly Earnings Per Person in the United Kingdom                                                                                NSA  Annual     12-Mar-2018  
AWEPPUKQ                                Average Weekly Earnings Per Person in the United Kingdom                                                                                SA   Quarterly  20-Sep-2018  
AWHWUKA                                 Average Weekly Hours Worked in the United Kingdom                                                                                       NSA  Annual     12-Mar-2018  
BCPSUKM                                 Bank Credit to the Private Sector in the United Kingdom                                                                                 SA   Monthly    09-Jun-2017  
BDRUKM                                  Bank Deposit Rate in the United Kingdom                                                                                                 NSA  Monthly    09-Jun-2017  
BMBAUKQ                                 Broad Money (Break Adjusted) in the United Kingdom                                                                                      SA   Quarterly  09-Jun-2017  
BOEBSTAUKA                              Bank of England Balance Sheet - Total Assets in the United Kingdom                                                                      NSA  Annual, As of February 12-Mar-2018  
BOEPRUKA                                Bank of England Policy Rate in the United Kingdom                                                                                       NSA  Annual     12-Mar-2018  
BOERUKA                                 Bank of England Policy Rate in the United Kingdom                                                                                       NSA  Annual, End of Year 12-Mar-2018  
BOERUKM                                 Bank of England Policy Rate in the United Kingdom                                                                                       NSA  Monthly    12-Mar-2018  
BOERUKQ                                 Bank of England Policy Rate in the United Kingdom                                                                                       NSA  Quarterly  12-Mar-2018  
BSDRUKQ                                 Banks' Sight Deposit Rate in the United Kingdom                                                                                         NSA  Quarterly  09-Jun-2017  
CADNMBRUKA                              Current Account Deficit Including Estimated Non-Monetary Bullion Flows in the United Kingdom                                            NSA  Annual     12-Mar-2018  
CADNMBUKA                               Current Account Deficit Including Estimated Non-Monetary Bullion Flows in the United Kingdom                                            NSA  Annual     09-Jun-2017  
CALUKA                                  Current Account in the United Kingdom                                                                                                   NSA  Annual     09-Jun-2017  
CBRBUKA                                 Corporate Borrowing Rate from banks in the United Kingdom                                                                               NSA  Annual     09-Jun-2017  
CBRLBUKQ                                Corporate Borrowing Rate on Loans from Banks in the United Kingdom                                                                      NSA  Quarterly  09-Jun-2017  
CBSLUKQ                                 Corporate Borrowing Spread on Loans from Banks in the United Kingdom                                                                    NSA  Quarterly  09-Jun-2017  
CMRAUKA                                 Variable Mortgage Rates in the United Kingdom                                                                                           NSA  Annual     20-Sep-2018  
CPIIUKA                                 Consumer Price Inflation in the United Kingdom                                                                                          NSA  Annual     12-Mar-2018  
CPIUKA                                  Consumer Price Index in the United Kingdom                                                                                              NSA  Annual     12-Mar-2018  
CPIUKQ                                  Consumer Price Index in the United Kingdom                                                                                              NSA  Quarterly  09-Jun-2017  
CURUKA                                  Current Account in the United Kingdom                                                                                                   NSA  Annual     12-Mar-2018  
DMIHHPNFCUKQ                            Divisia Money Index: Household Sector and Private Non-Financial Corporations in the United Kingdom                                      SA   Quarterly  09-Jun-2017  
DMIHSUKQ                                Divisia Money Index: Household Sector in the United Kingdom                                                                             SA   Quarterly  09-Jun-2017  
DMIPNCUKQ                               Divisia Money Index: Private Non-financial Corporations in the United Kingdom                                                           SA   Quarterly  09-Jun-2017  
DRSTCPUKQ                               Discount Rate on Short-Term Commercial Paper in the United Kingdom                                                                      NSA  Quarterly  09-Jun-2017  
DRSTPUKM                                Discount Rate on Prime Short-Term Paper in the United Kingdom                                                                           NSA  Monthly    09-Jun-2017  
EMPUKA                                  Employment in the United Kingdom                                                                                                        NSA  Annual     12-Mar-2018  
EMPUKQ                                  Employment in the United Kingdom                                                                                                        SA   Quarterly  12-Mar-2018  
GBMT10UK                                10-Year (Medium-Term) Government Bond Yields in the United Kingdom                                                                      NSA  Quarterly  09-Jun-2017  
GBMT10UKA                               10 Year (Medium-Term) Government Bond Yields in the United Kingdom                                                                      NSA  Annual     09-Jun-2017  
GDPDNUKA                                Gross Domestic Product Deflator at Market Prices in the United Kingdom                                                                  NSA  Annual     12-Mar-2018  
GDPDNUKQ                                Gross Domestic Product Deflator at Market Prices in the United Kingdom                                                                  SA   Quarterly  09-Jun-2017  
HCCRUKM                                 Household Credit Card Rate in the United Kingdom                                                                                        NSA  Monthly    09-Jun-2017  
HCCRUKQ                                 Household Credit Card Rate in the United Kingdom                                                                                        NSA  Quarterly  09-Jun-2017  
HPGDPUKA                                Hodrick-Prescott (HP) Filtered Log of Real Gross Domestic Product at Factor Cost in the United Kingdom                                  NSA  Annual     12-Mar-2018  
HPIUKA                                  House Price Index in the United Kingdom                                                                                                 NSA  Annual     12-Mar-2018  
