Release  Id : 469	State Unemployment Insurance Weekly Claims Report
AKCCLAIMS                     Continued Claims (Insured Unemployment) in Alaska                                                                          NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
AKCEMPLOY                     Covered Employment in Alaska                                                                                               NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
AKICLAIMS                     Initial Claims in Alaska                                                                                                   NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
AKINSUREDUR                   Insured Unemployment Rate in Alaska                                                                                      P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
ALCCLAIMS                     Continued Claims (Insured Unemployment) in Alabama                                                                         NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
ALCEMPLOY                     Covered Employment in Alabama                                                                                              NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
ALICLAIMS                     Initial Claims in Alabama                                                                                                  NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
ALINSUREDUR                   Insured Unemployment Rate in Alabama                                                                                     P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
ARCCLAIMS                     Continued Claims (Insured Unemployment) in Arkansas                                                                        NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
ARCEMPLOY                     Covered Employment in Arkansas                                                                                             NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
ARICLAIMS                     Initial Claims in Arkansas                                                                                                 NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
ARINSUREDUR                   Insured Unemployment Rate in Arkansas                                                                                    P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
AZCCLAIMS                     Continued Claims (Insured Unemployment) in Arizona                                                                         NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
AZCEMPLOY                     Covered Employment in Arizona                                                                                              NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
AZICLAIMS                     Initial Claims in Arizona                                                                                                  NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
AZINSUREDUR                   Insured Unemployment Rate in Arizona                                                                                     P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
CACCLAIMS                     Continued Claims (Insured Unemployment) in California                                                                      NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
CACEMPLOY                     Covered Employment in California                                                                                           NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
CAICLAIMS                     Initial Claims in California                                                                                               NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
CAINSUREDUR                   Insured Unemployment Rate in California                                                                                  P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
COCCLAIMS                     Continued Claims (Insured Unemployment) in Colorado                                                                        NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
COCEMPLOY                     Covered Employment in Colorado                                                                                             NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
COICLAIMS                     Initial Claims in Colorado                                                                                                 NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
COINSUREDUR                   Insured Unemployment Rate in Colorado                                                                                    P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
